,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bylevel,param_colsample_bytree,param_eta,param_gamma,param_max_delta_step,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
6352,0.1465001900990804,0.012754352408711197,0.0,0.0,1,1,0.4,0,1,5,3,0.9,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'eta': 0.4, 'gamma': 0, 'max_delta_step': 1, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.9}",0.9626865671641791,0.9393939393939394,0.9848484848484849,0.9623115577889447,0.018511984856536014,748
1825,0.13861783345540366,0.007361312365114738,0.0,0.0,0.8,1,0.3,1,1,6,3,0.9,"{'colsample_bylevel': 0.8, 'colsample_bytree': 1, 'eta': 0.3, 'gamma': 1, 'max_delta_step': 1, 'max_depth': 6, 'min_child_weight': 3, 'subsample': 0.9}",0.9626865671641791,0.9393939393939394,0.9848484848484849,0.9623115577889447,0.018511984856536014,748
1824,0.1391464869181315,0.008434652107192173,0.0,0.0,0.8,1,0.3,1,1,6,3,0.8,"{'colsample_bylevel': 0.8, 'colsample_bytree': 1, 'eta': 0.3, 'gamma': 1, 'max_delta_step': 1, 'max_depth': 6, 'min_child_weight': 3, 'subsample': 0.8}",0.9701492537313433,0.9393939393939394,0.9772727272727273,0.9623115577889447,0.016404639537016614,748
3990,0.13653715451558432,0.007364290794511344,0.0,0.0,0.9,1,0.3,1,0,7,2,0.8,"{'colsample_bylevel': 0.9, 'colsample_bytree': 1, 'eta': 0.3, 'gamma': 1, 'max_delta_step': 0, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.8}",0.9626865671641791,0.9393939393939394,0.9848484848484849,0.9623115577889447,0.018511984856536014,748
4779,0.16751742362976074,0.007996943605700841,0.0,0.0,1,0.8,0.3,2,0,5,1,0.8,"{'colsample_bylevel': 1, 'colsample_bytree': 0.8, 'eta': 0.3, 'gamma': 2, 'max_delta_step': 0, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8}",0.9552238805970149,0.9393939393939394,0.9924242424242424,0.9623115577889447,0.02217757965576378,748
1816,0.1614550749460856,0.007365864225397009,0.0,0.0,0.8,1,0.3,1,1,5,3,0.9,"{'colsample_bylevel': 0.8, 'colsample_bytree': 1, 'eta': 0.3, 'gamma': 1, 'max_delta_step': 1, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.9}",0.9626865671641791,0.9393939393939394,0.9848484848484849,0.9623115577889447,0.018511984856536014,748
1815,0.14452099800109863,0.007904545960366481,0.0,0.0,0.8,1,0.3,1,1,5,3,0.8,"{'colsample_bylevel': 0.8, 'colsample_bytree': 1, 'eta': 0.3, 'gamma': 1, 'max_delta_step': 1, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.8}",0.9701492537313433,0.9393939393939394,0.9772727272727273,0.9623115577889447,0.016404639537016614,748
3993,0.13615147272745767,0.007907535521815924,0.0,0.0,0.9,1,0.3,1,0,7,3,0.8,"{'colsample_bylevel': 0.9, 'colsample_bytree': 1, 'eta': 0.3, 'gamma': 1, 'max_delta_step': 0, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.8}",0.9626865671641791,0.9393939393939394,0.9848484848484849,0.9623115577889447,0.018511984856536014,748
4614,0.13538273175557455,0.007363279223835134,0.0,0.0,1,0.8,0.2,2,2,7,3,0.8,"{'colsample_bylevel': 1, 'colsample_bytree': 0.8, 'eta': 0.2, 'gamma': 2, 'max_delta_step': 2, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.8}",0.9552238805970149,0.9393939393939394,0.9924242424242424,0.9623115577889447,0.02217757965576378,748
3994,0.12496884663899739,2.247831920581015e-07,0.005206108093261719,0.007362548672671057,0.9,1,0.3,1,0,7,3,0.9,"{'colsample_bylevel': 0.9, 'colsample_bytree': 1, 'eta': 0.3, 'gamma': 1, 'max_delta_step': 0, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.9}",0.9626865671641791,0.9393939393939394,0.9848484848484849,0.9623115577889447,0.018511984856536014,748
3985,0.14058820406595865,5.619579801452538e-07,0.0052064259847005205,0.007362998239055173,0.9,1,0.3,1,0,6,3,0.9,"{'colsample_bylevel': 0.9, 'colsample_bytree': 1, 'eta': 0.3, 'gamma': 1, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 3, 'subsample': 0.9}",0.9626865671641791,0.9393939393939394,0.9848484848484849,0.9623115577889447,0.018511984856536014,748
6355,0.18750524520874023,0.007364740540986398,0.0,0.0,1,1,0.4,0,1,6,1,0.9,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'eta': 0.4, 'gamma': 0, 'max_delta_step': 1, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.9}",0.9477611940298507,0.9393939393939394,1.0,0.9623115577889447,0.026768761019457642,748
1915,0.1338188648223877,0.0010614262328983552,0.0,0.0,0.8,1,0.3,2,1,7,3,0.9,"{'colsample_bylevel': 0.8, 'colsample_bytree': 1, 'eta': 0.3, 'gamma': 2, 'max_delta_step': 1, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.9}",0.9626865671641791,0.9393939393939394,0.9848484848484849,0.9623115577889447,0.018511984856536014,748
3966,0.13538161913553873,0.0073640097659924625,0.0,0.0,0.9,1,0.3,0,2,7,3,0.8,"{'colsample_bylevel': 0.9, 'colsample_bytree': 1, 'eta': 0.3, 'gamma': 0, 'max_delta_step': 2, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.8}",0.9626865671641791,0.9393939393939394,0.9848484848484849,0.9623115577889447,0.018511984856536014,748
